date,artist,song,pos,pos_prev,pos_peak,weeks
1991-01-19,Maxi Priest,Close To You,95,77,1,30
1991-01-26,James Ingram,I Don't Have The Heart,99,91,1,26
1991-03-09,Mariah Carey,Love Takes Time,90,84,1,26
1991-04-20,Surface,The First Time,100,88,1,25
1991-05-04,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),97,82,1,25
1991-06-08,Timmy T.,One More Try,97,86,1,25
1991-08-31,Extreme,More Than Words,88,70,1,24
1991-03-09,Stevie B,Because I Love You (The Postman Song),93,83,1,23
1991-05-25,Whitney Houston,All The Man That I Need,100,92,1,23
1991-07-27,Hi-Five,I Like The Way (The Kissing Game),91,67,1,23
1991-09-14,EMF,Unbelievable,94,81,1,23
1991-04-13,Janet Jackson,Love Will Never Do (Without You),100,89,1,22
1991-11-23,Bryan Adams,(Everything I Do) I Do It For You,75,64,1,22
1991-01-26,Vanilla Ice,Ice Ice Baby,91,77,1,21
1991-07-13,Amy Grant,Baby Baby,93,70,1,21
1991-11-30,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,27,67,1,20
1991-12-07,Color Me Badd,I Adore Mi Amor,41,36,1,20
1991-12-28,Karyn White,Romantic,29,29,1,20
1991-02-23,Whitney Houston,I'm Your Baby Tonight,92,79,1,19
1991-05-25,Mariah Carey,Someday,83,74,1,19
1991-06-01,Gloria Estefan,Coming Out Of The Dark,96,80,1,19
1991-06-15,Londonbeat,I've Been Thinking About You,90,67,1,19
1991-06-15,Wilson Phillips,You're In Love,92,72,1,19
1991-07-06,Roxette,Joyride,89,59,1,19
1991-08-10,Mariah Carey,I Don't Wanna Cry,95,74,1,19
1991-09-14,Paula Abdul,Rush Rush,100,82,1,19
1991-12-28,Mariah Carey,Emotions,37,37,1,18
1991-03-02,Madonna,Justify My Love,86,68,1,16
1991-11-02,Paula Abdul,The Promise Of A New Day,96,66,1,16
1991-12-28,Prince And The N.P.G.,Cream,14,14,1,14
1991-12-28,Michael Bolton,When A Man Loves A Woman,5,5,1,12
1991-12-28,P.M. Dawn,Set Adrift On Memory Bliss,4,4,1,11
1991-12-28,Michael Jackson,Black Or White,1,1,1,6
